numero,publicacao,assunto,classificacao,permanente,situacao,validade,servidores,link,alteracao
CPV.0031,03/22/2021,"Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Administração Integrado ao Ensino Médio, modalidade Educação de Jovens e Adultos do IFSP - Câmpus Capivari.",C,,,Alterada pela portaria n° CPV.0060/2021,Até 11 de Abril de 2022,Alexandre Camargo Maia;Fleides Teodoro de Lima;Carlos Roberto Paviotti;Fernando Cesar Russo Gomes;Gianna Andréia Ferreira Gobbi Spadote;Igor Vasconcelos Nogueira;Isabel Cristina das Chagas;Leticia Pedroso Ramos;Marcelo Simplício de Lyra;Maria Amélia Ferracciú Pagotto;Mauro Vanderlei Amorim;Roberta Pereira Pires;Talita Barbosa Plantcoski Bulgraen;Valdir Antonio Vitorino Filho,https://drive.ifsp.edu.br/s/Mg8C8l2XqAQ5yAG,Altera CPV.0020/2021;0004/2021;0181/2020;0132/2020;0075/2020;0031/2020,,
CPV.0032,03/22/2021,Trata da designação dos membros do Núcleo Docente Estruturante-NDE do Curso Superior de Tecnólogo em Processos Gerenciais do IFSP-Câmpus Capivari.,M,,,Alterada pela portaria n° CPV.0126/2021,até 11 de novembro de 2021.,"Valdir Antonio Vitorino Filho;Carlos Roberto Paviotti;fleides Teodoro de Lima;Igor Vasconcelos Nogueira;Rafael Fernando Diorio;Marcelo Simplício de Lyra– ",https://drive.ifsp.edu.br/s/xO4dpu5ChBas2ui,Altera CPV.0160/2018,,
CPV.0033,03/22/2021,"Trata da composição do Comitê de Pesquisa, Inovação e Pós-Graduação (COMPESQ) do IFSP-Câmpus Capivari.",M,,,Revogada pela Portaria  CPV IFSP Nº .0132/2021,Até 25 de junho de 2021.,Alexandre Camargo Maia;Juscelino Pereira de Souza;Mauro Vanderlei de Amorim;Rafael Fernando Diorio;Roberto Bineli Muterle;Valdir Antonio Vitorino Filho,https://drive.ifsp.edu.br/s/SlK49VtGxIO5EEd,Altera CPV.0042/2020;0101/2019,,
CPV.0034,03/22/2021,Trata da designação dos membros do Colegiado do Curso Superior de Tecnologia em Processos Químicos do IFSP - Câmpus Capivari.,M,,,Alterada pela portaria n° CPV.0063/2021,"docentes, pedagogos ou técnicos em assuntos educacionais encerra-se em 15 de setembro de 2022;discentes encerra-se em 15 de setembro de 2021.","Mateus Nordi Esperança;Alexandre Santa Bárbara Azevedo;Everton Pereira Barbosa;Fernanda Ortolan;João Batista de Medeiros;José Ricardo Turquetti;Mauro Vanderlei de Amorim;Mayumi Silva Kawamoto;Jéssica de Paula Rodrigues;Natália Prado Mobiolli;Aline Cristina Vitti Ramos;Maria Heloísa Saraiva Vicente;Leticia Pedroso Ramos;Beatriz Simonaio Birelli Falco",https://drive.ifsp.edu.br/s/SKfMUzKN5j3a6XZ,Altera CPV.0167/2020,,
CPV.0035,03/22/2021,"Trata da designação dos membros do Núcleo Docente Estruturante do Curso Superior de Tecnologia em Processos Químicos do IFSP - Câmpus Capivari.",M,,,Alterada pela portaria n° CPV.0096/2021,"Art. 4º O mandato dos membros Ademir Geraldo Cavallari Costalonga e Elizabeth Machado Baptestini Andrade se encerra em 15 de abril de 2023.Art. 5º O mandato dos membros José Ricardo Turquetti e Alexandre Santa Barbara Azevedo se encerra em 15 de abril de 2022. Art. 6º O mandato do membro Everton Pereira Barbosa se encerra em 15 de abril de 2021.","Alexandre Santa Barbara Azevedo;Ademir Geraldo Cavallari Costalonga;Elizabeth Machado Baptestini Andrade;Everton Pereira Barbosa;José Ricardo Turquetti",https://drive.ifsp.edu.br/s/riX7Z3dxQ2cqIe8,Altera CPV.0177/2020;0079/2019;0078/2018,,
CPV.0036,03/22/2021,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC)Técnico em Química Integrado ao Ensino Médio do IFSP-Câmpus Capivari.,M,,,Alterada pela portaria n° CPV.0057/2021,até a formatura da primeira turma do novo currículo do curso a ser proposto.,Aderbal Almeida Rocha;Alexandre Camargo Maia;André Castilho Garcia;Carolina Marocco Corneta;Cleidson Santiago de Oliveira;Felipe de Paula Góis Vieira;Gianna Andréia Ferreira Gobbi Spadote;Irlla Karla dos Santos Diniz;Isabel Cristina das Chagas Oliveira;Luís Eduardo Pais dos Santos;Sheila Pasqualotto;,https://drive.ifsp.edu.br/s/rzTnpeqQV2i86D0,Altera CPV.0180/2020;0130/2020,,
CPV.0037,03/22/2021,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Recursos Humanos Concomitante/Subsequente do IFSP - Câmpus Capivari.,M,,,Alterada pela portaria n° CPV.0061/2021,até a formatura da primeira turma do curso.,Igor Vasconcelos Nogueira;Fernando Cesar Russo Gomes;Fleides Teodoro de Lima;Gustavo Baptistella Leite da Silva;Helen Gláucia Stefanelli;Isabel Cristina das Chagas Oliveira;Juscelino Pereira de Souza;Leticia Pedroso Ramos;Valdir Antonio Vitorino Filho,https://drive.ifsp.edu.br/s/dYa1jg8XXpqt3yn,Altera CPV.0005/2021;0186/2020;0120/20020;0047/2020;0155/2019;0087/2019;0161/2018;0106/2018;0030/2018;,,
CPV.0038,03/22/2021,Trata da designação dos membros da Comissão Local de Permanência e Êxito dos Estudantes do IFSP - Câmpus Capivari.,C,,,Alterada pela portaria n° CPV.0089/2021,sem mandato expresso,"Leticia Pedroso Ramos;Alexandre Camargo Maia;Beatriz Simonaio Birelli Falco;Carlos Fernando Barboza da Silva;Everton Pereira Barbosa;Fleides Teodoro de Lima;Grazielle nayara Felício Silva;Gustavo Baptistella Leite da Silva;Maria Elisa de Castro Almeida;Maria Heloisa Saraiva Vicente;Mateus Nordi Esperança;Pedro Henrique Alcântara da Silva;Rafael Fernando Diorio;Thalita Arthur",https://drive.ifsp.edu.br/s/b2T1j8kXLPMSPJV,Altera CPV.0007/2021;0202/2020,,
CPV.0039,03/22/2021,Trata da designação dos membros do Colegiado do Curso de Licenciatura em Química do IFSP - Câmpus Capivari.,M,,,Alterada pela portaria n° CPV.0098/2021," Art. 4º - O mandato dos representantes docentes, pedagogos ou técnicos em assuntos educacionais encerra-se em 05 de setembro de 2021. Art. 5º - O mandato dos representantes discentes encerra-se em 15 de setembro de 2021.",Carlos Fernando Barboza da Silva;Cleidson Santiago de Oliveira;Luis Eduardo Pais dos Santos;Marcel de Assis Roque;Marcelo Simplício de Lyra;Mayumi Silva Kawamoto;Roberto Bineli Muterle;Maria Elisa de Castro Almeida;Elizabeth Machado Baptestini Andrade;Nycolas dos Santos Galdino;Valéria Cristina Firmino da Rocha;Isabela Meirelles Bergamasco;Isabel Cristina das Chagas Oliveira;Gianna Andréia Ferreira Gobbi Spadote.,https://drive.ifsp.edu.br/s/VjHoJ2muorsZiLc,Altera CPV.0168/2020;160/2020;0150/2020;0082/2020;0151/2019,,
CPV.0040,03/23/2021,Trata da nomeação dos membros do Conselho de Câmpus do IFSP-Câmpus Capivari.,M,,,Alterada pela portaria nº CPV.0090/2021,Mandato dos membros até 11 de dezembro de 2021,"Arlete Teresinha Esteves Brandi;Isabel Cristina das Chagas Oliveira;Maria Heloisa Saraiva Vicente;Carlos Roberto Paviotti;Fabiana Bigaton Tonin;Francine Maria Ribeiro;Valdir Antonio Vitorino Filho;Roberto Bineli Muterle;Vitor Brandi Junior;Beatriz Santos Silva;Guilherme Henrique Inocêncio;João Pedro Adami de Carvalho;Héllen Cristine Florentino Cruz;Daniela Loatti;Letícia de Goes Peressim Travaiolli;Gabriel Sanches Cerezer",https://drive.ifsp.edu.br/s/YuyTg43lFlSqg9D,Altera CPV.0009/2021;232/2020;0163/2020;0087/2020;0188/2019;,,
CPV.0041,03/30/2021,Trata da designação dos membros da Comissão para Elaboração e Implementação do Projeto Pedagógico do Curso (CEIC) Técnico em Alimentos do IFSP-Câmpus Capivari.,M,,,Alterada pela portaria nº CPV.0115/2021,ate 11 de abril de 2022,"Fernanda Ortolan;Alexandre Santa Bárbara Azevedo;Adria de Sousa Bentes;André Castilho Garcia;Carolina Marocco Corneta;Gislaine Vieira Damiani;Grazielle Cristine Elias;Gustavo Baptistella Leite da Silva;Hugo Antonio Lima de Souza;Isabel Cristina das Chagas Oliveira;Luís Eduardo Pais dos Santos;Mateus Nordi Esperança;Rafael Resende Maldonado;Silvânia Regina Mendes Moreschi;Talita Barbosa Planticoski Bulgraen.",https://drive.ifsp.edu.br/s/d4RhmW3ybwakob5,Altera CPV.0027/2021;0019/2021;0187/2020;0121/2020;0152/2019;0114/2019;0066/2019,,
